Year,LiquorRatio,State
2011,0.7,AL
2011,1.4,AK
2011,0.3,AZ
2011,1.1,AR
2011,1,CA
2011,2.4,CO
2011,2.1,CT
2011,2.6,DE
2011,2.7,DC
2011,0.7,FL
2011,0.9,GA
2011,0.3,HI
2011,0.6,ID
2011,1,IL
2011,1.2,IN
2011,0.4,IA
2011,2.1,KS
2011,0.9,KY
2011,0.4,LA
2011,0.3,ME
2011,2,MD
2011,2.1,MA
2011,1.5,MI
2011,1.8,MN
2011,1,MS
2011,0.6,MO
2011,0.8,MT
2011,0.7,NE
2011,0.5,NV
2011,0.7,NH
2011,1.9,NJ
2011,0.4,NM
2011,1.4,NY
2011,0.5,NC
2011,1.3,ND
2011,0.8,OH
2011,1,OK
2011,0.6,OR
2011,1.3,PA
2011,2.2,RI
2011,0.9,SC
2011,1.2,SD
2011,0.9,TN
2011,0.7,TX
2011,0.2,UT
2011,2,VT
2011,0.6,VA
2011,0.6,WA
2011,0.3,WV
2011,0.7,WI
2011,2,WY
2010,0.7,AL
2010,1.5,AK
2010,0.3,AZ
2010,1.1,AR
2010,1,CA
2010,2.4,CO
2010,2,CT
2010,2.7,DE
2010,2.8,DC
2010,0.7,FL
2010,0.9,GA
2010,0.4,HI
2010,0.5,ID
2010,1,IL
2010,1.2,IN
2010,0.4,IA
2010,2.2,KS
2010,0.9,KY
2010,0.4,LA
2010,0.3,ME
2010,2,MD
2010,2.1,MA
2010,1.5,MI
2010,1.7,MN
2010,1,MS
2010,0.6,MO
2010,0.8,MT
2010,0.7,NE
2010,0.5,NV
2010,0.7,NH
2010,1.9,NJ
2010,0.4,NM
2010,1.3,NY
2010,0.6,NC
2010,1.4,ND
2010,0.8,OH
2010,0.9,OK
2010,0.6,OR
2010,1.4,PA
2010,2.1,RI
2010,0.8,SC
2010,1.2,SD
2010,0.8,TN
2010,0.7,TX
2010,0.2,UT
2010,1.9,VT
2010,0.6,VA
2010,0.5,WA
2010,0.3,WV
2010,0.7,WI
2010,2,WY
2009,0.7,AL
2009,1.4,AK
2009,0.3,AZ
2009,1.1,AR
2009,1,CA
2009,2.3,CO
2009,2,CT
2009,2.7,DE
2009,2.9,DC
2009,0.7,FL
2009,0.9,GA
2009,0.4,HI
2009,0.6,ID
2009,1,IL
2009,1.2,IN
2009,0.4,IA
2009,2.2,KS
2009,0.9,KY
2009,0.4,LA
2009,0.3,ME
2009,2,MD
2009,2.1,MA
2009,1.4,MI
2009,1.7,MN
2009,1,MS
2009,0.6,MO
2009,0.8,MT
2009,0.8,NE
2009,0.4,NV
2009,0.7,NH
2009,1.9,NJ
2009,0.5,NM
2009,1.3,NY
2009,0.5,NC
2009,1.4,ND
2009,0.8,OH
2009,0.9,OK
2009,0.6,OR
2009,1.4,PA
2009,2.1,RI
2009,0.8,SC
2009,1.2,SD
2009,0.8,TN
2009,0.7,TX
2009,0.2,UT
2009,1.8,VT
2009,0.6,VA
2009,0.5,WA
2009,0.3,WV
2009,0.7,WI
2009,1.9,WY
2008,0.7,AL
2008,1.4,AK
2008,0.4,AZ
2008,1,AR
2008,0.9,CA
2008,2.4,CO
2008,2,CT
2008,2.7,DE
2008,2.9,DC
2008,0.7,FL
2008,0.9,GA
2008,0.4,HI
2008,0.6,ID
2008,1,IL
2008,1.2,IN
2008,0.4,IA
2008,2.2,KS
2008,0.9,KY
2008,0.4,LA
2008,0.3,ME
2008,2,MD
2008,2.1,MA
2008,1.4,MI
2008,1.7,MN
2008,1,MS
2008,0.6,MO
2008,0.8,MT
2008,0.8,NE
2008,0.4,NV
