Year,RehabNo,State
2010,7,AL
2010,0,AK
2010,7,AZ
2010,8,AR
2010,5,CA
2010,3,CO
2010,1,CT
2010,0,DE
2010,1,DC
2010,13,FL
2010,3,GA
2010,1,HI
2010,1,ID
2010,4,IL
2010,6,IN
2010,0,IA
2010,4,KS
2010,5,KY
2010,21,LA
2010,1,ME
2010,2,MD
2010,8,MA
2010,4,MI
2010,0,MN
2010,0,MS
2010,5,MO
2010,0,MT
2010,1,NE
2010,3,NV
2010,2,NH
2010,8,NJ
2010,5,NM
2010,0,NY
2010,2,NC
2010,0,ND
2010,3,OH
2010,2,OK
2010,0,OR
2010,16,PA
2010,1,RI
2010,6,SC
2010,0,SD
2010,6,TN
2010,49,TX
2010,1,UT
2010,0,VT
2010,9,VA
2010,1,WA
2010,5,WV
2010,2,WI
2010,1,WY
2009,7,AL
2009,0,AK
2009,7,AZ
2009,8,AR
2009,5,CA
2009,3,CO
2009,1,CT
2009,0,DE
2009,1,DC
2009,13,FL
2009,3,GA
2009,1,HI
2009,1,ID
2009,4,IL
2009,6,IN
2009,0,IA
2009,4,KS
2009,5,KY
2009,21,LA
2009,1,ME
2009,2,MD
2009,8,MA
2009,4,MI
2009,1,MN
2009,0,MS
2009,4,MO
2009,0,MT
2009,1,NE
2009,3,NV
2009,2,NH
2009,8,NJ
2009,5,NM
2009,0,NY
2009,2,NC
2009,0,ND
2009,3,OH
2009,2,OK
2009,0,OR
2009,17,PA
2009,1,RI
2009,6,SC
2009,0,SD
2009,6,TN
2009,42,TX
2009,1,UT
2009,0,VT
2009,7,VA
2009,1,WA
2009,5,WV
2009,2,WI
2009,1,WY
2008,7,AL
2008,0,AK
2008,6,AZ
2008,8,AR
2008,5,CA
2008,3,CO
2008,1,CT
2008,0,DE
2008,1,DC
2008,13,FL
2008,3,GA
2008,1,HI
2008,1,ID
2008,4,IL
2008,8,IN
2008,0,IA
2008,4,KS
2008,6,KY
2008,22,LA
2008,1,ME
2008,2,MD
2008,8,MA
2008,4,MI
2008,1,MN
2008,0,MS
2008,3,MO
2008,0,MT
2008,1,NE
2008,3,NV
2008,2,NH
2008,8,NJ
2008,5,NM
2008,0,NY
2008,2,NC
2008,0,ND
2008,3,OH
2008,2,OK
2008,0,OR
2008,17,PA
2008,1,RI
2008,6,SC
2008,0,SD
2008,6,TN
2008,37,TX
2008,1,UT
2008,0,VT
2008,7,VA
2008,1,WA
2008,5,WV
2008,1,WI
2008,1,WY
2007,7,AL
2007,0,AK
2007,6,AZ
2007,8,AR
2007,6,CA
2007,3,CO
2007,1,CT
2007,0,DE
2007,1,DC
2007,14,FL
2007,3,GA
2007,1,HI
2007,1,ID
2007,4,IL
2007,7,IN
2007,0,IA
2007,4,KS
2007,6,KY
2007,22,LA
2007,1,ME
2007,2,MD
2007,8,MA
2007,4,MI
2007,1,MN
2007,0,MS
2007,4,MO
2007,0,MT
2007,1,NE
2007,3,NV
2007,2,NH
2007,8,NJ
2007,5,NM
2007,0,NY
2007,2,NC
2007,0,ND
2007,3,OH
2007,2,OK
2007,0,OR
2007,18,PA
2007,1,RI
2007,5,SC
2007,0,SD
2007,6,TN
2007,34,TX
2007,1,UT
2007,0,VT
2007,7,VA
2007,1,WA
2007,5,WV
2007,1,WI
2007,0,WY
2011,7,AL
2011,0,AK
2011,7,AZ
2011,8,AR
2011,5,CA
2011,3,CO
2011,1,CT
2011,0,DE
2011,1,DC
2011,13,FL
2011,3,GA
2011,1,HI
2011,1,ID
2011,4,IL
2011,6,IN
2011,0,IA
2011,4,KS
2011,5,KY
2011,20,LA
2011,1,ME
2011,2,MD
2011,6,MA
2011,4,MI
2011,0,MN
2011,0,MS
2011,5,MO
2011,0,MT
2011,1,NE
2011,3,NV
2011,2,NH
2011,8,NJ
2011,5,NM
2011,0,NY
2011,2,NC
2011,0,ND
2011,3,OH
2011,2,OK
2011,0,OR
2011,16,PA
2011,1,RI
2011,6,SC
2011,0,SD
2011,6,TN
2011,52,TX
2011,1,UT
2011,0,VT
2011,9,VA
2011,1,WA
2011,5,WV
2011,2,WI
2011,1,WY
